name,address,details_url,image_url
Bar do Romeu,"Rua Aniri, 8 | Guarani, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/5665-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050906/bardoromeu_penorabo_bh_2025_rodneycosta_unibh-7542-scaled.jpg
Bar dos Meninos,"Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-dos-meninos/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145725/bardosmeninos_bodasdeprata_bh_2025_rodneycosta_unibh-8218-scaled.jpg
Bar Du Du,"Rua Violeta, 369 | Esplanada, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-du-du/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/16083316/bardudu_porcosemvergonha_bh_2025_isaquerodrigues_unibh-8899-scaled.jpg
Bar e Restaurante Bom Sabor,"Rua Java, 386 | Nova Suíça, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-e-restaurante-bom-sabor/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070354/restbomsabor_boracomemorar_bh_2025_amandacantanhede_unibh-9066-scaled.jpg
Bar e Restaurante do Joãozinho,"Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-e-restaurante-do-joaozinho/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070652/bardojoaozinho_triomineiro_bh_2025_rodneycosta_unibh-7419-scaled.jpg
Bar Estabelecimento,"Rua Monte Alegre, 160 | Serra, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-estabelecimento/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/07104420/barestabelecimento_tipracas_bh_2025_rodneycosta_unibh-8153-scaled.jpg
Bar Junto Juntinho,"Rua Cura D’Ars, 542 | Prado, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-junto-juntinho/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10075811/barjuntojuntinho_poliamorculinario_bh_2025_rodneycosta_unibh-1725-1-1-scaled.jpg
Bar Mania Mineira,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/5668-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050748/maniamineira_explosaodesabores_bh_2025_fernandaoliveira_unibh-8088-scaled.jpg
Bar Pompéu,"Rua São Miguel, 779 | Itapoã, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/3135-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050703/pompeu_emasnume_bh_2025_rodneycosta_unibh-8144-scaled.jpg
Bar Stella,"Avenida Saramenha, 1599 | Guarani, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-stella/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150007/barstella_boibebum_bh_2025_amandacantanhede_unibh-7586-scaled.jpg
Bar Temático Sta. Teresa,"Rua Pirite, 187 | Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-tematico-sta-teresa-2/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050630/tematico_cdb_25desucessoarrumado_bh_2025_rodneycosta_unibh-9084-scaled.jpg
