full_address;address;name;lat;lng;data;alvara;cdb_idx
AVE GENERAL CARLOS GUEDES, 806, LOJA A, PLANALTO, Belo Horizonte, Minas Gerais, Brasil;AVE GENERAL CARLOS GUEDES, 806, PLANALTO, Belo Horizonte, Minas Gerais, Brasil;FRANGO DO CHEF;;;29-08-2022;NÃO;-1
RUA MARACAJA, 67, nan, BOM JESUS, Belo Horizonte, Minas Gerais, Brasil;RUA MARACAJA, 67, BOM JESUS, Belo Horizonte, Minas Gerais, Brasil;JAQUELINE DELFINO;-19.8972645;-43.9560473;01-09-2022;NÃO;-1
AVE SENADOR LEVINDO COELHO, 4801, LOJA B, VILA INDEPENDENCIA I, Belo Horizonte, Minas Gerais, Brasil;AVE SENADOR LEVINDO COELHO, 4801, VILA INDEPENDENCIA I, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE PAULO - RECEITAS AO ALHO;;;03-09-2022;NÃO;-1
RUA JOAQUIM GONCALVES PIMENTA, 61, LOJA 04, CAMARGOS, Belo Horizonte, Minas Gerais, Brasil;RUA JOAQUIM GONCALVES PIMENTA, 61, CAMARGOS, Belo Horizonte, Minas Gerais, Brasil;PIZZA RAPIDIN;-19.9394583;-44.0180987;11-08-2022;NÃO;-1
RUA SACRAMENTO, 273, LOJA ,,LOJA,LOJA,LOJA, NOSSA SENHORA DA CONCEICAO, Belo Horizonte, Minas Gerais, Brasil;RUA SACRAMENTO, 273, NOSSA SENHORA DA CONCEICAO, Belo Horizonte, Minas Gerais, Brasil;SALGADOS E LANCHES PAULINO;-19.9381135;-43.9133194;16-08-2022;NÃO;-1
RUA BARAO DE JACUI, 10, nan, PLANALTO, Belo Horizonte, Minas Gerais, Brasil;RUA BARAO DE JACUI, 10, PLANALTO, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE PRATO FINO;-19.8329647;-43.9434523;18-08-2022;NÃO;-1
RUA BENJAMIN FLORES, 55, nan, BETANIA, Belo Horizonte, Minas Gerais, Brasil;RUA BENJAMIN FLORES, 55, BETANIA, Belo Horizonte, Minas Gerais, Brasil;RM RESTAURANTES;-19.9539184;-43.9864493;26-08-2022;NÃO;-1
RUA ESPIRITO SANTO, 1972, nan, LOURDES, Belo Horizonte, Minas Gerais, Brasil;RUA ESPIRITO SANTO, 1972, LOURDES, Belo Horizonte, Minas Gerais, Brasil;JAPAN SUSHI FOOD;-19.9312407;-43.9406144;29-08-2022;SIM;-1
RUA MAMORE, 40, LOJA, VILA OESTE, Belo Horizonte, Minas Gerais, Brasil;RUA MAMORE, 40, VILA OESTE, Belo Horizonte, Minas Gerais, Brasil;ADEGA DO PUGA;-19.9360027;-44.0047162;06-09-2022;NÃO;-1
RUA DAS PERPETUAS, 25, nan, LINDEIA, Belo Horizonte, Minas Gerais, Brasil;RUA DAS PERPETUAS, 25, LINDEIA, Belo Horizonte, Minas Gerais, Brasil;TEMPERO DE FAMILIA;-19.9786436;-44.0485452;09-09-2022;SIM;-1
RUA SILVA FORTES, 15, nan, UNIAO, Belo Horizonte, Minas Gerais, Brasil;RUA SILVA FORTES, 15, UNIAO, Belo Horizonte, Minas Gerais, Brasil;BURGUER CALIFORNIA;-19.8811789;-43.9272578;14-09-2022;SIM;-1
RUA SENHORA DO BRASIL, 758, nan, CACHOEIRINHA, Belo Horizonte, Minas Gerais, Brasil;RUA SENHORA DO BRASIL, 758, CACHOEIRINHA, Belo Horizonte, Minas Gerais, Brasil;NELI SANTOS;-19.8922904;-43.9466074;14-08-2022;NÃO;-1
AVE BRIGADEIRO EDUARDO GOMES, 1135, CASA 2, GLORIA, Belo Horizonte, Minas Gerais, Brasil;AVE BRIGADEIRO EDUARDO GOMES, 1135, GLORIA, Belo Horizonte, Minas Gerais, Brasil;PANELA DE PEDRA;;;20-08-2022;NÃO;-1
RUA INTENDENTE CAMARA, 100, LOJA:01 BAR,, INDAIA, Belo Horizonte, Minas Gerais, Brasil;RUA INTENDENTE CAMARA, 100, INDAIA, Belo Horizonte, Minas Gerais, Brasil;CENTRO ESPORTIVO BOLA NA REDE;-19.8611803;-43.9508948;20-08-2022;SIM;-1
RUA ENEAS, 352, nan, NOVO GLORIA, Belo Horizonte, Minas Gerais, Brasil;RUA ENEAS, 352, NOVO GLORIA, Belo Horizonte, Minas Gerais, Brasil;SRA MASTER CHEFF BH;-19.902503;-44.0153004;23-08-2022;NÃO;-1
RUA PAULA BARROS, 85, LOJA, NAZARE, Belo Horizonte, Minas Gerais, Brasil;RUA PAULA BARROS, 85, NAZARE, Belo Horizonte, Minas Gerais, Brasil;BUDEGUITA;-19.8476409;-43.8979075;24-08-2022;NÃO;-1
AVE JOAO PINHEIRO, 287, nan, BOA VIAGEM, Belo Horizonte, Minas Gerais, Brasil;AVE JOAO PINHEIRO, 287, BOA VIAGEM, Belo Horizonte, Minas Gerais, Brasil;CASA BELLONI;;;26-08-2022;SIM;-1
RUA DAS CANOAS, 1040, nan, ESTRELA DO ORIENTE, Belo Horizonte, Minas Gerais, Brasil;RUA DAS CANOAS, 1040, ESTRELA DO ORIENTE, Belo Horizonte, Minas Gerais, Brasil;LUCIS RESTAURANTE DELIVERY;-19.9626515;-43.9867607;06-09-2022;NÃO;-1
RUA JAPURA, 161, LOJA 5, RENASCENCA, Belo Horizonte, Minas Gerais, Brasil;RUA JAPURA, 161, RENASCENCA, Belo Horizonte, Minas Gerais, Brasil;JOSE GERALDO MARTINS 41482387620;-19.889185;-43.936252;09-09-2022;SIM;-1
RUA JAVA, 211, nan, NOVA SUISSA, Belo Horizonte, Minas Gerais, Brasil;RUA JAVA, 211, NOVA SUISSA, Belo Horizonte, Minas Gerais, Brasil;ROTA 211 BAR E PETISCARIA;-19.9330501;-43.9776488;14-08-2022;SIM;-1
AVE RAJA GABAGLIA, 3950, LOJA:08F 09F,, ESTORIL, Belo Horizonte, Minas Gerais, Brasil;AVE RAJA GABAGLIA, 3950, ESTORIL, Belo Horizonte, Minas Gerais, Brasil;MINERINHO;;;15-08-2022;SIM;-1
AVE SEBASTIAO DE BRITO, 1185, nan, DONA CLARA, Belo Horizonte, Minas Gerais, Brasil;AVE SEBASTIAO DE BRITO, 1185, DONA CLARA, Belo Horizonte, Minas Gerais, Brasil;BAR DO HELMIO 3 LTDA;;;18-08-2022;SIM;-1
RUA AUGUSTO FERREIRA DOS SANTOS, 350, nan, SERRA VERDE, Belo Horizonte, Minas Gerais, Brasil;RUA AUGUSTO FERREIRA DOS SANTOS, 350, SERRA VERDE, Belo Horizonte, Minas Gerais, Brasil;ACAI DOS AMIGOS II;-19.8025768;-43.9527126;20-08-2022;NÃO;-1
RUA SANTA TEREZA DE AVILA, 191, CASA 191, SANTA RITA, Belo Horizonte, Minas Gerais, Brasil;RUA SANTA TEREZA DE AVILA, 191, SANTA RITA, Belo Horizonte, Minas Gerais, Brasil;CANTINHO JER;-20.0098462;-44.0290081;21-08-2022;NÃO;-1
RUA DOUTOR ARGEMIRO RESENDE COSTA, 331, nan, VILA NOVO SAO LUCAS, Belo Horizonte, Minas Gerais, Brasil;RUA DOUTOR ARGEMIRO RESENDE COSTA, 331, VILA NOVO SAO LUCAS, Belo Horizonte, Minas Gerais, Brasil;RAFAEL BAR;-19.9327349;-43.9107241;24-08-2022;NÃO;-1
RUA LUCIO MAGNO, 50, nan, VILA VISTA ALEGRE, Belo Horizonte, Minas Gerais, Brasil;RUA LUCIO MAGNO, 50, VILA VISTA ALEGRE, Belo Horizonte, Minas Gerais, Brasil;OIA A FOME DELIVERY;;;01-09-2022;NÃO;-1
RUA SAO PAULO, 1966, LOJA:01,, LOURDES, Belo Horizonte, Minas Gerais, Brasil;RUA SAO PAULO, 1966, LOURDES, Belo Horizonte, Minas Gerais, Brasil;DEVOTOS SPORTS BAR;-19.9307156;-43.9433746;01-09-2022;NÃO;-1
AVE BARAO HOMEM DE MELO, 2120, nan, ESTORIL, Belo Horizonte, Minas Gerais, Brasil;AVE BARAO HOMEM DE MELO, 2120, ESTORIL, Belo Horizonte, Minas Gerais, Brasil;47.864.015 MARCELO NEVES ANDRADE BRITO;;;06-09-2022;NÃO;-1
AVE LUIZ PAULO FRANCO, 447, LOJA 5, BELVEDERE, Belo Horizonte, Minas Gerais, Brasil;AVE LUIZ PAULO FRANCO, 447, BELVEDERE, Belo Horizonte, Minas Gerais, Brasil;DUBELV S FINE BURGUERS;;;27-09-2017;NÃO;-1
RUA DOUTOR ALVARO CAMARGOS, 1868, nan, SAO JOAO BATISTA, Belo Horizonte, Minas Gerais, Brasil;RUA DOUTOR ALVARO CAMARGOS, 1868, SAO JOAO BATISTA, Belo Horizonte, Minas Gerais, Brasil;BAR E RESTAURANTE FLOR DE LOTUS;-19.8283385;-43.9620701;27-09-2017;NÃO;-1
AVE CORONEL JOSE BENJAMIM, 524, nan, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;AVE CORONEL JOSE BENJAMIM, 524, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;GARAGE BEER;;;11-10-2017;NÃO;-1
RUA FRUTAL, 22, nan, SANTA EFIGENIA, Belo Horizonte, Minas Gerais, Brasil;RUA FRUTAL, 22, SANTA EFIGENIA, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE SANTA EFIGENIA;-19.921782;-43.9133394;22-09-2017;NÃO;-1
RUA MARIA DE LOURDES DA CRUZ, 295, nan, MANTIQUEIRA, Belo Horizonte, Minas Gerais, Brasil;RUA MARIA DE LOURDES DA CRUZ, 295, MANTIQUEIRA, Belo Horizonte, Minas Gerais, Brasil;CASA SARA SABOR MINEIRO;-19.7887423;-43.9871876;06-10-2017;NÃO;-1
AVE PROFESSOR MARIO WERNECK, 2900, LOJA 9, BURITIS, Belo Horizonte, Minas Gerais, Brasil;AVE PROFESSOR MARIO WERNECK, 2900, BURITIS, Belo Horizonte, Minas Gerais, Brasil;MINATORI;;;14-09-2017;NÃO;-1
RUA JURAMENTO, 252, nan, PARAISO, Belo Horizonte, Minas Gerais, Brasil;RUA JURAMENTO, 252, PARAISO, Belo Horizonte, Minas Gerais, Brasil;AVENIDINHA BAR;-19.9168532;-43.9039112;03-09-2017;NÃO;-1
RUA ANTONIO JOSE DOS SANTOS, 860, nan, CEU AZUL, Belo Horizonte, Minas Gerais, Brasil;RUA ANTONIO JOSE DOS SANTOS, 860, CEU AZUL, Belo Horizonte, Minas Gerais, Brasil;BIROSKA BEER;-19.8208276;-43.9969994;19-09-2017;SIM;-1
RUA CAMPOS SALES, 870, nan, CALAFATE, Belo Horizonte, Minas Gerais, Brasil;RUA CAMPOS SALES, 870, CALAFATE, Belo Horizonte, Minas Gerais, Brasil;DELIVERY SUSHI RAO;-19.9301965;-43.9827833;04-09-2017;NÃO;-1
RUA MARMORE, 91, nan, SANTA TEREZA, Belo Horizonte, Minas Gerais, Brasil;RUA MARMORE, 91, SANTA TEREZA, Belo Horizonte, Minas Gerais, Brasil;AO GOSTO BRASILEIRO;-19.9154379;-43.9214664;04-09-2017;NÃO;-1
RUA DEMIZA, 468, LOJA 01, BETANIA, Belo Horizonte, Minas Gerais, Brasil;RUA DEMIZA, 468, BETANIA, Belo Horizonte, Minas Gerais, Brasil;BOTECO DO HUDSON;-19.9578853;-43.9962851;04-09-2017;SIM;-1
BEC ROBERTO MARTINS COSTA, 22, CASA A, VILA BATIK, Belo Horizonte, Minas Gerais, Brasil;BEC ROBERTO MARTINS COSTA, 22, VILA BATIK, Belo Horizonte, Minas Gerais, Brasil;A EXPLOSAO DOS SABORES;;;15-09-2017;NÃO;-1
